City,Lat,Lon,Temp(f),Humidity,Cloudiness,Wind Speed,Country
Kenai,60.55,-151.26,53.6,57,1,16.11,US
Mtwango,-9.02,34.8,55.26,91,18,9.66,TZ
Stykkisholmur,65.08,-22.73,40.3,69,24,11.99,IS
Banyo,6.75,11.82,68.52,87,100,2.44,CM
Arman',59.7,150.17,41.45,74,55,5.73,RU
Ţahţā,26.77,31.5,89.6,29,75,10.29,EG
Williams Lake,52.14,-122.14,59.0,41,75,11.41,CA
Inhambane,-23.86,35.38,70.27,79,9,10.54,MZ
Varadero,23.15,-81.25,86.0,70,40,5.82,CU
Pokhara,28.23,83.98,72.7,37,0,7.7,NP
Constitución,-35.33,-72.42,63.75,70,3,15.01,CL
Lichuan,30.3,108.85,58.48,89,93,1.48,CN
Nenita,12.49,124.8,77.09,92,78,5.66,PH
Kondol',52.82,45.06,48.99,57,0,6.67,RU
Zabul Province,32.25,67.25,58.71,29,0,12.19,AF
Mindif,10.4,14.44,89.73,15,78,2.3,CM
Krasnosel'kup,65.7,82.47,46.35,95,100,3.15,RU
Jizan,17.33,42.67,89.6,75,49,5.82,SA
Vanavara,60.34,102.28,37.78,71,96,2.55,RU
Sisimiut,66.94,-53.67,44.89,59,0,18.99,GL
Olinda,-8.01,-34.86,78.8,88,75,3.36,BR
Huambo,-12.78,15.74,54.54,52,0,3.51,AO
Fort-Shevchenko,44.51,50.26,61.72,82,100,14.83,KZ
Dudinka,69.41,86.18,37.4,86,40,24.61,RU
Oyama,36.3,139.8,66.0,93,75,3.36,JP
Lakatoro,-16.1,167.42,78.8,78,90,3.36,VU
Camaná,-16.62,-72.71,67.24,68,52,4.79,PE
Shubarkuduk,49.14,56.49,53.11,65,57,5.53,KZ
Kangaatsiaq,68.31,-53.46,32.88,96,31,14.99,GL
Majene,-3.54,118.97,79.74,87,99,8.32,ID
Chulym,55.1,80.96,55.85,67,11,5.5,RU
Minden,52.28,8.92,57.2,50,90,9.17,DE
Hofn,64.25,-15.21,41.86,64,94,13.91,IS
Skorodnoye,51.07,37.23,50.0,61,2,6.71,RU
Xining,36.62,101.77,50.25,48,0,2.28,CN
Westerly,41.38,-71.83,71.01,46,75,9.17,US
Srednekolymsk,67.45,153.68,46.08,61,0,1.54,RU
El Salvador,13.83,-88.92,89.6,70,20,9.17,SV
Kikwit,-5.04,18.82,74.46,71,0,2.39,CD
Barrhead,55.8,-4.39,51.01,81,90,6.93,GB
Concepción,-36.83,-73.05,64.4,82,5,12.75,CL
Okhotsk,59.38,143.3,36.1,84,100,3.8,RU
Belmonte,-15.86,-38.88,77.0,83,75,4.7,BR
Tessalit,20.2,1.01,89.28,13,0,15.32,ML
Iraquara,-12.25,-41.62,78.8,74,52,3.36,BR
Horsham,51.06,-0.33,53.6,71,86,4.7,GB
Omboué,-1.57,9.26,79.88,89,100,4.59,GA
Newtownards,54.59,-5.69,52.0,81,100,6.93,GB
Alyangula,-13.85,136.42,73.4,94,22,15.28,AU
Haines Junction,60.75,-137.51,59.92,42,88,0.45,CA
Araouane,18.9,-3.53,91.13,12,0,9.84,ML
Cruzeiro do Sul,-29.51,-51.99,62.01,77,0,3.8,BR
Fortuna,40.6,-124.16,61.0,87,75,14.99,US
Broome,42.25,-75.83,68.0,48,20,10.29,US
Alice Springs,-23.7,133.88,39.2,60,0,6.93,AU
Arapiraca,-9.75,-36.66,72.91,90,1,7.49,BR
Kajaani,64.23,27.73,39.2,69,100,3.36,FI
Grand Baie,-20.02,57.58,72.0,82,0,1.01,MU
Āreka,7.07,37.7,61.45,86,76,1.07,ET
Oneonta,42.45,-75.06,66.99,55,83,1.01,US
Sambava,-14.27,50.17,75.42,84,16,8.72,MG
Repalle,16.02,80.85,86.16,74,100,1.83,IN
Ilulissat,69.22,-51.1,30.2,92,0,4.7,GL
San Miguel de Cozumel,20.51,-86.95,89.6,62,40,9.17,MX
Aitape,-3.14,142.35,79.34,80,81,5.3,PG
Fort Nelson,58.81,-122.7,44.6,65,90,3.36,CA
Havre-St-Pierre,50.23,-63.6,51.8,66,90,10.29,CA
Hobyo,5.35,48.53,83.28,79,0,26.98,SO
Nemuro,43.32,145.57,45.64,99,100,5.68,JP
Severnyy,50.68,36.55,50.0,61,8,6.71,RU
Pacifica,37.61,-122.49,72.0,43,75,17.22,US
Ampanihy,-24.7,44.75,61.95,75,0,4.68,MG
Tiksi,71.69,128.87,23.0,98,62,5.12,RU
Kapoeta,4.77,33.59,80.83,56,1,3.04,SS
Popondetta,-8.75,148.25,74.61,89,35,2.17,PG
Gijang,35.24,129.21,64.4,82,75,2.24,KR
Talnakh,69.49,88.4,37.4,86,40,24.61,RU
Mwense,-10.38,28.7,67.05,55,0,9.08,ZM
Revda,56.8,59.93,42.8,93,40,6.71,RU
Malé,4.17,73.51,86.0,84,75,16.11,MV
Saint-Avertin,47.36,0.74,57.2,62,10,4.7,FR
Āsbe Teferī,9.08,40.87,63.86,81,46,2.17,ET
Sola,-13.88,167.55,80.8,83,95,19.08,VU
Shubarshi,48.59,57.19,51.94,82,63,3.06,KZ
San Patricio,19.22,-104.7,80.6,78,5,13.87,MX
Acarí,-15.43,-74.62,75.16,48,2,6.89,PE
Sistranda,63.73,8.83,39.2,86,75,12.75,NO
Boddam,57.47,-1.78,53.6,54,69,10.29,GB
Mehamn,71.04,27.85,33.91,94,100,10.85,NO
Jumla,29.27,82.18,51.75,47,0,4.0,NP
Sur,22.57,59.53,81.48,64,0,9.51,OM
São José da Coroa Grande,-8.9,-35.15,78.98,80,11,4.81,BR
Port Augusta,-32.5,137.77,45.0,86,0,5.82,AU
Meulaboh,4.14,96.13,76.01,96,100,7.81,ID
Stokmarknes,68.56,14.91,39.99,63,98,5.01,NO
Gayny,60.31,54.32,37.04,94,73,7.05,RU
Nzega,-2.48,29.56,57.83,95,98,2.68,RW
Mitsamiouli,-11.38,43.28,79.54,70,1,20.0,KM
Oranjemund,-28.55,16.43,58.95,72,0,6.02,
Port Hardy,50.7,-127.42,55.4,76,90,23.04,CA
Rincon,32.3,-81.24,84.2,45,40,11.41,US
Mandalgovi,45.76,106.27,34.43,79,0,25.03,MN
Saint George,37.1,-113.58,90.0,15,1,5.82,US
Enugu,6.44,7.49,79.52,81,41,3.58,NG
Ganzhou,28.82,115.43,71.83,89,33,2.24,CN
St. George's,12.06,-61.75,86.0,70,20,23.04,GD
Tucumã,-0.18,-50.05,80.22,84,44,6.62,BR
Tual,-5.67,132.75,83.62,81,32,22.97,ID
Port Blair,11.67,92.75,81.32,85,100,12.84,IN
Sars,56.55,57.14,39.94,86,93,3.78,RU
Tarnogskiy Gorodok,60.5,43.58,37.69,84,41,5.44,RU
Bariloche,-41.15,-71.31,55.99,47,75,33.33,AR
Inírida,3.87,-67.92,84.04,81,60,2.66,CO
Necochea,-38.55,-58.74,68.0,56,9,7.0,AR
Grass Valley,39.22,-121.06,75.99,40,1,6.93,US
Alta Floresta,-9.88,-56.09,86.0,70,20,5.82,BR
Yuanping,38.72,112.76,52.43,38,91,2.82,CN
Leningradskiy,69.38,178.42,27.77,97,100,3.42,RU
Valdivia,-39.81,-73.25,60.8,93,75,4.7,CL
Marawi,8.0,124.29,77.0,92,99,1.99,PH
Ilave,-16.08,-69.67,50.99,43,18,9.71,PE
Nālūt,30.33,10.85,86.07,12,0,12.21,LY
Nome,64.5,-165.41,46.4,75,90,3.36,US
Lagoa,39.05,-27.98,64.81,88,100,17.83,PT
Buala,-8.14,159.59,83.05,77,5,4.9,SB
Gamba,-2.65,10.0,78.71,92,100,4.0,GA
Tulun,54.56,100.58,41.77,63,100,4.43,RU
Lençóis Paulista,-22.6,-48.8,78.8,50,0,3.36,BR
Deutsch-Wagram,48.3,16.56,55.0,73,44,1.01,AT
Gwadar,25.12,62.33,81.99,78,0,6.44,PK
Agirish,61.92,63.02,47.89,60,85,3.06,RU
Tarakan,3.3,117.63,82.53,79,100,2.73,ID
Wanning,18.8,110.4,79.92,87,46,8.97,CN
Menongue,-14.66,17.69,56.66,54,0,4.41,AO
Winnemucca,40.97,-117.74,77.0,15,1,6.93,US
Chaiya,9.39,99.2,84.0,86,100,3.22,TH
Narsaq,60.92,-46.05,50.0,23,100,19.46,GL
Anadyr,64.75,177.48,37.0,69,0,8.88,RU
Krasnovishersk,60.41,57.08,43.16,92,87,6.67,RU
Quatre Cocos,-20.21,57.76,72.0,83,20,8.08,MU
Petropavlovsk-Kamchatskiy,53.05,158.65,41.0,75,75,4.47,RU
Sibolga,1.74,98.78,78.82,84,100,2.64,ID
Comodoro Rivadavia,-45.87,-67.5,62.6,36,0,31.09,AR
Dubbo,-32.25,148.62,44.6,93,0,11.41,AU
Geraldton,-28.77,114.6,50.0,76,51,6.93,AU
Puerto Maldonado,-12.6,-69.18,83.88,55,87,2.44,PE
Moose Factory,51.26,-80.61,33.8,86,90,12.75,CA
Sibu,2.3,111.82,78.8,94,75,2.24,MY
Dukat,62.55,155.55,30.47,98,79,6.62,RU
Marystown,47.17,-55.15,41.54,73,84,2.66,CA
Lusambo,-4.97,23.45,72.07,89,7,0.56,CD
Tottori-shi,35.5,134.23,62.65,93,100,3.53,JP
Zilair,52.23,57.44,43.47,92,75,2.62,RU
Urengoy,65.97,78.37,42.42,91,98,6.62,RU
Hamilton,39.18,-84.53,79.0,65,75,9.17,US
Bay Roberts,47.6,-53.26,39.99,30,68,3.0,CA
Yunyang,33.45,112.71,68.99,51,43,6.82,CN
Kisújszállás,47.22,20.77,55.4,71,100,4.05,HU
Port Elizabeth,-33.92,25.57,50.0,93,1,3.36,ZA
Makarov,48.63,142.8,38.57,89,100,13.22,RU
Vilkija,55.05,23.58,48.2,76,90,20.8,LT
Saldanha,-33.01,17.94,51.8,76,17,3.36,ZA
Challans,46.84,-1.87,57.0,75,7,1.01,FR
Gravdal,68.12,13.5,40.66,70,74,14.03,NO
Genhe,50.78,121.52,43.52,63,15,4.76,CN
Lufkin,31.34,-94.73,71.6,83,90,14.99,US
Port Pirie,-33.18,138.02,41.0,86,0,5.82,AU
Touros,-5.2,-35.46,77.0,94,75,2.24,BR
Kralendijk,12.15,-68.27,86.0,66,20,21.92,BQ
Morondava,-20.28,44.28,70.83,65,0,16.42,MG
Rawson,-43.3,-65.1,64.56,28,28,19.55,AR
Ullapool,57.9,-5.16,48.99,81,66,5.01,GB
Cumana,10.46,-64.18,96.8,47,60,24.16,VE
Dabakala,8.37,-4.43,81.73,71,0,5.64,CI
Ocosingo,17.07,-92.25,98.6,53,20,2.84,MX
Wajir,1.75,40.06,78.85,68,3,16.96,KE
Calvià,39.57,2.51,64.0,72,71,3.36,ES
Najrān,17.49,44.13,82.4,21,40,2.51,SA
Auki,-8.77,160.7,80.53,80,0,3.11,SB
Penzance,50.12,-5.54,54.0,87,48,9.17,GB
Paamiut,61.99,-49.67,39.65,88,100,6.33,GL
Teguise,29.06,-13.56,68.0,68,20,14.99,ES
Powell River,49.85,-124.54,53.6,93,90,8.05,CA
Pangody,65.85,74.49,40.44,92,97,1.1,RU
Maţāy,28.42,30.78,85.06,25,28,3.76,EG
Shingū,33.73,135.98,63.95,94,100,2.62,JP
Māndalgarh,25.2,75.1,85.01,22,28,7.36,IN
Cap Malheureux,-19.98,57.61,72.0,82,0,1.01,MU
Samarai,-10.62,150.67,79.41,82,89,14.18,PG
Portland,45.52,-122.68,70.0,67,90,6.93,US
Yulara,-25.24,130.99,44.6,48,0,5.82,AU
Umluj,25.02,37.27,90.9,33,38,13.35,SA
Şabyā,17.15,42.63,89.6,75,48,5.82,SA
Mahon,39.89,4.27,62.6,88,5,18.34,ES
Alihe,50.57,123.72,45.12,61,5,4.29,CN
Bagdarin,54.43,113.6,40.84,87,95,3.15,RU
Denpasar,-8.65,115.22,80.08,86,82,14.83,ID
Yinchuan,38.47,106.27,67.39,22,12,12.97,CN
Sittwe,20.15,92.9,81.99,80,98,4.25,MM
Barranca,-10.75,-77.77,68.63,73,15,8.97,PE
Whitianga,-36.83,175.7,57.0,78,69,1.99,NZ
Nombre de Dios,23.85,-104.23,82.4,7,5,4.7,MX
Kolondiéba,11.09,-6.89,94.39,29,100,4.0,ML
Zhezkazgan,47.8,67.71,59.77,67,45,5.95,KZ
Zhuhai,22.28,113.57,82.4,88,20,3.36,CN
Bundaberg,-24.85,152.35,63.0,93,9,8.05,AU
Fernley,39.61,-119.25,78.01,18,100,3.0,US
Les Cayes,18.2,-73.75,83.21,68,11,9.57,HT
General Roca,-39.03,-67.58,80.6,32,99,12.75,AR
Souillac,-20.52,57.52,71.6,83,20,5.03,MU
Andenes,69.31,16.12,39.2,64,2,12.75,NO
Aquiraz,-3.9,-38.39,77.0,88,75,4.7,BR
Apache Junction,33.42,-111.55,95.0,13,5,3.36,US
Bitung,1.45,125.18,77.0,94,20,1.12,ID
Santa Cruz,30.42,-9.6,64.4,82,20,19.46,MA
Tulum,20.22,-87.47,89.6,62,40,9.17,MX
Neuquén,-38.95,-68.06,80.6,32,71,12.75,AR
Black River,18.03,-77.85,86.0,74,40,9.17,JM
Kulhudhuffushi,6.62,73.07,84.52,74,100,14.67,MV
Hambantota,6.12,81.12,82.99,81,100,19.75,LK
Ambon City,-3.7,128.18,81.43,84,6,10.11,ID
Metro,-5.11,105.31,76.32,93,77,3.06,ID
Ndola,-12.96,28.64,57.94,61,0,7.14,ZM
Bandarbeyla,9.49,50.81,83.12,81,48,22.3,SO
Saint-François,46.42,3.91,55.99,71,12,5.01,FR
Belaya Gora,68.53,146.42,35.35,84,11,7.61,RU
Maridi,4.92,29.47,70.0,86,7,2.89,SS
Dingle,11.0,122.67,79.25,86,91,3.76,PH
Ubari,26.59,12.78,82.71,14,0,6.51,LY
Suntar,62.14,117.63,51.44,65,100,2.01,RU
Maceió,-9.67,-35.74,80.6,78,40,10.29,BR
La Ligua,-32.45,-71.23,68.0,64,0,11.41,CL
Shikhany,52.12,47.22,42.24,77,0,4.12,RU
Redlands,34.06,-117.18,89.01,25,5,9.17,US
Road Town,18.42,-64.62,86.0,66,40,11.41,VG
Severo-Yeniseyskiy,60.37,93.04,41.97,83,92,4.72,RU
Shache,38.42,77.24,67.39,39,100,19.44,CN
Dunedin,-45.87,170.5,50.0,71,36,1.99,NZ
Mil'kovo,54.72,158.62,34.68,93,100,7.11,RU
Homer,59.64,-151.55,51.8,62,1,12.75,US
Tallahassee,30.44,-84.28,91.99,38,75,6.93,US
Umm Kaddadah,13.6,26.69,84.78,22,0,2.24,SD
Kashary,49.04,41.01,43.56,76,0,7.31,RU
Tjøme,59.11,10.39,46.0,48,100,6.93,NO
Dārāb,28.75,54.54,75.51,27,0,8.1,IR
Iskateley,67.68,53.15,39.67,76,100,9.37,RU
Mumford,5.26,-0.76,82.85,82,0,9.95,GH
Nanyang,32.99,112.53,69.31,78,71,3.91,CN
Koumac,-20.57,164.28,72.43,76,91,4.47,NC
Fossano,44.55,7.72,59.0,98,100,3.13,IT
Dakar,14.69,-17.44,71.6,83,0,16.11,SN
Ahipara,-35.17,173.17,58.08,80,10,8.48,NZ
Pincher Creek,49.48,-113.95,62.6,36,1,24.16,CA
Palu,-0.89,119.87,77.83,81,100,3.89,ID
Il’inskiy,55.62,38.12,51.01,87,58,2.24,RU
Denia,38.84,0.11,64.0,80,51,6.49,ES
Nova Olinda do Norte,-3.89,-59.09,83.62,83,52,1.07,BR
Maralal,1.1,36.7,59.41,96,20,5.7,KE
Yeppoon,-23.13,150.73,62.6,77,100,5.82,AU
Vardø,70.37,31.11,33.8,95,75,2.24,NO
Saint-Pierre,-21.34,55.48,73.4,78,40,5.82,RE
Samdari,25.82,72.58,88.39,28,3,7.25,IN
Tautira,-17.73,-149.15,86.0,74,75,10.29,PF
Sain Alto,23.58,-103.25,78.82,13,0,6.91,MX
Caravelas,-17.71,-39.25,74.32,90,67,7.7,BR
Gorontalo,0.54,123.06,76.59,89,42,1.81,ID
Thunder Bay,48.4,-89.32,64.4,34,90,9.17,CA
Zhangjiakou,40.81,114.88,51.57,40,98,7.0,CN
College,64.86,-147.8,54.0,34,75,16.11,US
Ketchikan,55.34,-131.65,57.2,67,1,18.34,US
Stonewall,50.13,-97.33,70.0,40,40,8.05,CA
Beroroha,-21.67,45.17,63.27,60,0,3.58,MG
Hakkâri Province,37.58,44.17,52.03,51,0,2.37,TR
Luganville,-15.53,167.17,78.8,78,90,3.36,VU
São Miguel do Iguaçu,-25.35,-54.24,64.4,68,0,3.36,BR
San Quintín,30.48,-115.95,66.94,69,79,9.1,MX
Awasa,7.05,38.47,60.42,83,29,3.11,ET
Vila,42.03,-8.16,66.0,63,0,8.05,PT
